date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-05-21,mine-bean,claude-opus-4-7,24,4767,701361,23673
2026-05-22,mine-bean,claude-opus-4-7,15,3744,450612,32574
2026-05-22,mine-bean,claude-opus-4-7,14,4068,383608,30232
2026-05-22,mine-bean,claude-opus-4-7,15,4335,428439,34419
2026-05-22,mine-bean,claude-opus-4-7,13,3594,344085,31119
2026-05-22,mine-bean,claude-opus-4-7,15,4125,361902,22013
2026-05-22,mine-bean,claude-opus-4-7,16,4333,430039,26579
2026-05-22,mine-bean,claude-opus-4-7,3305,4414,551297,30104
2026-05-22,mine-bean,claude-opus-4-7,17,4268,515084,30272
2026-05-22,mine-bean,claude-opus-4-7,16,4495,396921,20479
2026-05-22,mine-bean,claude-opus-4-7,20,4395,569358,28946
2026-05-23,mine-bean,claude-opus-4-7,17,3732,506952,31786
2026-05-23,mine-bean,claude-opus-4-7,17,4155,530347,30209
2026-05-23,mine-bean,claude-opus-4-7,20,5022,575197,26066
2026-05-23,mine-bean,claude-opus-4-7,15,4969,379702,25100
2026-05-23,mine-bean,claude-opus-4-7,15,3707,431383,33885
2026-05-23,mine-bean,claude-opus-4-7,3301,3601,430169,37606
2026-05-23,mine-bean,claude-opus-4-7,17,3816,463131,23833
2026-05-23,mine-bean,claude-opus-4-7,24,5206,739486,28106
2026-05-23,mine-bean,claude-opus-4-7,24,5182,689902,23007
2026-05-23,mine-bean,claude-opus-4-7,20,3719,569424,26047
2026-05-23,mine-bean,claude-opus-4-7,21,4685,581087,24192
2026-05-23,mine-bean,claude-opus-4-7,15,3691,397479,25153
2026-05-23,mine-bean,claude-opus-4-7,26,6074,608284,46596
2026-05-23,mine-bean,claude-opus-4-7,14,3049,410008,34262
2026-05-23,mine-bean,claude-opus-4-7,18,3539,527627,32222
2026-05-23,mine-bean,claude-opus-4-7,15,4583,482008,41028
2026-05-24,mine-bean,claude-opus-4-7,18,4166,469819,22557
2026-05-24,mine-bean,claude-opus-4-7,19,4222,483682,19512
2026-05-24,mine-bean,claude-opus-4-7,38,5599,1020836,41895
2026-05-24,mine-bean,claude-opus-4-7,14,3698,426143,36916
2026-05-24,mine-bean,claude-opus-4-7,17,4235,496394,27211
2026-05-24,mine-bean,claude-opus-4-7,19,4029,488505,20670
2026-05-24,mine-bean,claude-opus-4-7,20,4155,598692,31312
2026-05-24,mine-bean,claude-opus-4-7,17,4151,560644,39738
2026-05-24,mine-bean,claude-opus-4-7,16,3599,423549,23245
2026-05-24,mine-bean,claude-opus-4-7,424,3803,479998,40764
2026-05-24,mine-bean,claude-opus-4-7,426,3048,432862,21551
2026-05-24,mine-bean,claude-opus-4-7,17,4851,482066,27063
2026-05-24,mine-bean,claude-opus-4-7,421,3204,323220,37852
2026-05-24,mine-bean,claude-opus-4-7,3844,7072,588400,27402
2026-05-24,mine-bean,claude-opus-4-7,15,4220,382775,26352
2026-05-25,mine-bean,claude-opus-4-7,15,4083,354228,19593
2026-05-25,mine-bean,claude-opus-4-7,3304,3746,442511,21706
2026-05-25,mine-bean,claude-opus-4-7,25,5460,568942,46128
2026-05-25,mine-bean,claude-opus-4-7,21,5065,646483,45155
2026-05-25,mine-bean,claude-opus-4-7,14,2697,369950,39174
2026-05-25,mine-bean,claude-opus-4-7,423,3790,432590,42873
2026-05-25,mine-bean,claude-opus-4-7,19,5538,556452,26623
2026-05-25,mine-bean,claude-opus-4-7,15,4350,530398,44549
2026-05-25,mine-bean,claude-opus-4-7,16,3232,412265,21458
2026-05-25,mine-bean,claude-opus-4-7,16,5079,419841,25465
2026-05-26,mine-bean,claude-opus-4-7,20,4559,569343,24695
2026-05-26,mine-bean,claude-opus-4-7,24886,3873,632783,42786
2026-05-26,mine-bean,claude-opus-4-7,17,4814,461464,26064
2026-05-26,mine-bean,claude-opus-4-7,17,5306,439732,24285
2026-05-26,mine-bean,claude-opus-4-7,18,5082,482074,23368
2026-05-26,mine-bean,claude-opus-4-7,21,5217,624158,26030
2026-05-26,mine-bean,claude-opus-4-7,17,3410,449430,24961
2026-05-26,mine-bean,claude-opus-4-7,17,4425,481521,26168
2026-05-26,mine-bean,claude-opus-4-7,3658,5365,524303,24237
2026-05-27,mine-bean,claude-opus-4-7,18,4239,493189,22555
2026-05-27,mine-bean,claude-opus-4-7,20,4351,675156,46070
2026-05-27,mine-bean,claude-opus-4-7,24,5374,702926,25931
2026-05-27,mine-bean,claude-opus-4-7,31,6606,861657,50798
2026-05-27,mine-bean,claude-opus-4-7,21,5524,572151,22844
2026-05-27,mine-bean,claude-opus-4-7,25,5636,732909,24948
2026-05-27,mine-bean,claude-opus-4-7,27,6564,849174,27280
2026-05-27,mine-bean,claude-opus-4-7,22,4895,678323,32069
2026-05-28,mine-bean,claude-opus-4-7,21,4624,644329,29703
2026-05-28,mine-bean,claude-opus-4-7,25,5816,738905,27069
2026-05-28,mine-bean,claude-opus-4-7,16,4297,383362,20178
2026-05-28,mine-bean,claude-opus-4-7,26,5954,753964,24453
2026-05-28,mine-bean,claude-haiku-4-5-20251001,114,4339,758711,37334
2026-05-28,mine-bean,claude-haiku-4-5-20251001,93,2286,542661,40494
2026-05-28,heartbeat,claude-opus-4-7,21,6069,848827,36950
2026-05-28,mine-bean,claude-haiku-4-5-20251001,100,5035,627179,42082
2026-05-29,mine-bean,claude-haiku-4-5-20251001,93,5831,744136,42300
2026-05-29,mine-bean,claude-haiku-4-5-20251001,9,289,29821,57039
2026-05-29,heartbeat,claude-opus-4-7,594,5274,797326,36977
2026-05-29,mine-bean,claude-haiku-4-5-20251001,72,1776,538286,33352
2026-05-29,heartbeat,claude-opus-4-7,12,4649,377788,33417
2026-05-29,mine-bean,claude-haiku-4-5-20251001,135,5830,1018631,40794
2026-05-29,mine-bean,claude-haiku-4-5-20251001,107,5648,724437,47257
2026-05-29,mine-bean,claude-haiku-4-5-20251001,9,287,83815,322
2026-05-29,mine-bean,claude-haiku-4-5-20251001,86,2686,552028,36097
2026-05-30,mine-bean,claude-haiku-4-5-20251001,58,1882,310981,12960
2026-05-30,mine-bean,claude-haiku-4-5-20251001,100,3492,609825,71912
2026-05-30,mine-bean,claude-haiku-4-5-20251001,128,4717,912942,44205
2026-05-30,mine-bean,claude-haiku-4-5-20251001,58,1781,309463,11413
2026-05-30,mine-bean,claude-haiku-4-5-20251001,37,1017,187074,10171
2026-05-30,mine-bean,claude-haiku-4-5-20251001,114,5440,747452,45306
2026-05-30,mine-bean,claude-haiku-4-5-20251001,72,4542,467394,43942
2026-05-30,mine-bean,claude-haiku-4-5-20251001,107,3258,818086,66650
2026-05-30,mine-bean,claude-haiku-4-5-20251001,191,6438,1229186,87322
2026-05-30,mine-bean,claude-haiku-4-5-20251001,86,4320,494740,73208
2026-05-30,mine-bean,claude-haiku-4-5-20251001,100,2593,577323,65811
2026-05-30,mine-bean,claude-haiku-4-5-20251001,107,4439,660151,44425
2026-05-30,mine-bean,claude-haiku-4-5-20251001,107,5193,681675,45695
2026-05-30,mine-bean,claude-haiku-4-5-20251001,86,2932,477294,74648
2026-05-30,mine-bean,claude-haiku-4-5-20251001,30,596,116804,39835
2026-05-31,mine-bean,claude-haiku-4-5-20251001,51,1524,267089,32961
2026-05-31,mine-bean,claude-haiku-4-5-20251001,30,1264,146905,9855
2026-05-31,heartbeat,claude-opus-4-7,20,4513,767008,33627
2026-05-31,mine-bean,claude-haiku-4-5-20251001,30,607,146811,9792
2026-05-31,mine-bean,claude-haiku-4-5-20251001,37,1258,186571,10174
2026-05-31,mine-bean,claude-haiku-4-5-20251001,121,5910,886867,49977
2026-05-31,mine-bean,claude-haiku-4-5-20251001,44,1198,229107,11248
2026-05-31,mine-bean,claude-haiku-4-5-20251001,93,2488,514962,12659
2026-05-31,mine-bean,claude-haiku-4-5-20251001,79,2475,443365,15869
2026-05-31,mine-bean,claude-haiku-4-5-20251001,114,6681,737014,48139
2026-05-31,heartbeat,claude-opus-4-7,11,6218,327010,39592
2026-05-31,mine-bean,claude-haiku-4-5-20251001,30,735,146758,9791
2026-05-31,mine-bean,claude-haiku-4-5-20251001,1964,4471,1063102,44898
2026-05-31,mine-bean,claude-haiku-4-5-20251001,65,1936,355755,12442
2026-06-01,mine-bean,claude-haiku-4-5-20251001,44,1125,229792,11244
2026-06-01,mine-bean,claude-haiku-4-5-20251001,37,1007,228392,30718
2026-06-01,mine-bean,claude-haiku-4-5-20251001,9,98,29998,43804
2026-06-01,mine-bean,claude-haiku-4-5-20251001,114,4796,732463,48706
2026-06-01,mine-bean,claude-haiku-4-5-20251001,9,73,72493,248
2026-06-01,mine-bean,claude-haiku-4-5-20251001,107,7407,751414,49934
2026-06-02,mine-bean,claude-haiku-4-5-20251001,58,1879,373120,32353
2026-06-02,mine-bean,claude-haiku-4-5-20251001,114,3802,666606,19108
2026-06-02,mine-bean,claude-haiku-4-5-20251001,100,3963,676995,35814
2026-06-02,mine-bean,claude-haiku-4-5-20251001,93,6309,984515,9019
2026-06-02,mine-bean,claude-haiku-4-5-20251001,72,2098,399866,14674
2026-06-02,heartbeat,claude-opus-4-7,12,3965,344858,30705
2026-06-02,mine-bean,claude-haiku-4-5-20251001,72,2126,391883,32765
2026-06-03,mine-bean,claude-haiku-4-5-20251001,93,3267,557100,34922
2026-06-03,mine-bean,claude-haiku-4-5-20251001,65,1827,354262,12197
2026-06-03,mine-bean,claude-haiku-4-5-20251001,107,5145,788302,47824
2026-06-03,mine-bean,claude-haiku-4-5-20251001,100,2467,576200,15847
2026-06-03,heartbeat,claude-opus-4-7,13,5377,398402,28359
2026-06-03,mine-bean,claude-haiku-4-5-20251001,65,1739,254803,14139
2026-06-04,mine-bean,claude-haiku-4-5-20251001,30,962,103313,9978
2026-06-04,mine-bean,claude-haiku-4-5-20251001,72,4263,560400,36925
2026-06-04,mine-bean,claude-haiku-4-5-20251001,30,856,103393,10024
2026-06-04,mine-bean,claude-haiku-4-5-20251001,86,2119,350051,15340
2026-06-04,mine-bean,claude-haiku-4-5-20251001,142,6872,687271,71619
